,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
74,75.0,r_ankle,16.14272201433341,-3.3613787416900136,-5.485209336204921,73.85730243690942,1,73.6416623629511
75,76.0,r_ankle,15.604133268263439,-3.390799484273128,-5.508517654144159,74.40272000610227,1,74.20831792525381
76,77.0,r_ankle,15.061920322297388,-3.4533340578539673,-5.541756557290635,74.93810412894547,1,74.7534962588924
77,78.0,r_ankle,14.528821348698981,-3.5206498972951525,-5.607383892683222,75.46772756287531,1,75.27818439366018
78,79.0,r_ankle,14.010053295447836,-3.5692377330444844,-5.706072711745081,75.98649561612643,1,75.78414003643363
79,80.0,r_ankle,13.505556344527594,-3.6014058753556415,-5.8226939013613705,76.49446810671526,1,76.2742745202657
80,81.0,r_ankle,13.01242897905805,-3.6443868876200627,-5.938442840792299,76.99442429530768,1,76.74915306306531
81,82.0,r_ankle,12.525993103253262,-3.728105178031315,-6.03223128671844,77.47403134798957,1,77.1956921395074
82,83.0,r_ankle,12.050014307629121,-3.863713890338981,-6.088875819098783,77.94653460394515,1,77.6112935355874
83,84.0,r_ankle,11.588384026685006,-4.030904785105934,-6.109565246912167,78.40816488488927,1,77.99353321271991
84,85.0,r_ankle,11.144273623742457,-4.193344674647169,-6.111382520777581,78.8557508275004,1,78.34553990335232
85,86.0,r_ankle,10.717467388987815,-4.329854611267671,-6.105326651039402,79.28938588537788,1,78.67849427122479
86,87.0,r_ankle,10.304494245359937,-4.449874869101242,-6.091828415732964,79.69553020588292,1,78.99278454044185
87,88.0,r_ankle,9.913164961534989,-4.579246480614896,-6.0954385919621075,80.08338395003926,1,79.29618362926014
88,89.0,r_ankle,9.562223921414617,-4.728201299243458,-6.185206967075601,80.4343249901597,1,79.57777756582209
89,90.0,r_ankle,9.281987372598776,-4.878989447895166,-6.466854028077845,80.71803707864409,1,79.81960946757832
90,91.0,r_ankle,9.100847717729255,-4.9949286644503665,-7.035319501333948,80.90600555663647,1,80.00462123708152
91,92.0,r_ankle,9.024605842675834,-5.039148881415316,-7.912917454777475,80.97541860856704,1,80.11694792532569
92,93.0,r_ankle,9.03315273559383,-4.99968849695878,-9.025712800437239,80.9633961759805,1,80.17685366706354
93,94.0,r_ankle,9.08778073792263,-4.8963667541780245,-10.232406444124589,80.90876817365168,1,80.20343814170285
94,95.0,r_ankle,9.14824005316713,-4.772315499658517,-11.385134098971326,80.85178439807572,1,80.22120195938741
95,96.0,r_ankle,9.197286106681398,-4.657310465680549,-12.397178498120281,80.80956716768434,1,80.2380433086723
96,97.0,r_ankle,9.22373088890586,-4.561542775942089,-13.231043623950177,80.77629356233702,1,80.25359430585385
97,98.0,r_ankle,9.246221431479478,-4.456879488488566,-13.919623886760597,80.75032748009481,1,80.26378619205133
